49,Mary,Brown,13.1,mary brown,10211.9664062989,11549.7340055241
50,Mary,Jones,12.2,mary jones,10109.6082373249,11342.9804422785
51,Patricia,Smith,17.1,patricia smith,9569.15350947337,11205.4787595933
52,James,Moore,43,james moore,7637.54703747539,10921.6922635898
53,James,Taylor,37.4,james taylor,7893.00164755117,10844.9842637353
54,William,Miller,22.5,william miller,8827.23905332794,10813.3678403267
55,John,Davis,-3.8,john davis,11160.9393287173,10736.8236342261
56,Charles,Johnson,24.8,charles johnson,8585.48350546518,10714.6834148205
57,William,Davis,23.1,william davis,8634.02553616631,10628.4854350207
58,John,Jones,-26.5,john jones,14301.9505409659,10511.9336476099
59,Richard,Johnson,-2,richard johnson,10724.8044675803,10510.3083782287
60,James,Anderson,24,james anderson,8249.25834268617,10229.0803449309
61,Robert,Taylor,39.2,robert taylor,7333.14139666078,10207.7328241518
62,Barbara,Smith,24,barbara smith,8109.48804018202,10055.7651698257
63,Michael,Moore,15.7,michael moore,8653.79482018299,10012.4406069517
64,James,Martin,35.9,james martin,7350.37519807168,9989.15989417942
65,Michael,Wilson,2.6,michael wilson,9702.9956520785,9955.27353903254
66,James,Thomas,24.8,james thomas,7949.50295037765,9920.97968207131
67,Joseph,Smith,-27.6,joseph smith,13681.479396881,9905.39108334182
68,James,White,41,james white,7003.26547770753,9874.60432356762
69,Mary,Miller,21.5,mary miller,8065.87265504504,9800.03527587973
70,Robert,Anderson,27,robert anderson,7664.12836911917,9733.44302878135
71,Robert,Wilson,22,robert wilson,7956.11416631597,9706.45928290549
72,Charles,Williams,33.3,charles williams,7210.50903374917,9611.60854198764
73,Jennifer,Johnson,10.3,jennifer johnson,8692.52601222627,9587.85619148557
74,Michael,Anderson,2.4,michael anderson,9346.9000931857,9571.22569542216
75,John,Brown,-34.3,john brown,14446.7555062786,9491.51836762503
76,Michael,Martin,13,michael martin,8328.41205472958,9411.10562184442
77,James,Thompson,33.6,james thompson,7021.93329286115,9381.30287926249
78,Mark,Smith,4.1,mark smith,8999.71850725896,9368.70696605657
79,Michael,Thomas,2.9,michael thomas,9007.25941424085,9268.46993725383
80,David,Anderson,28.1,david anderson,7219.88334228401,9248.67056146581
81,Linda,Johnson,22.9,linda johnson,7524.13398965112,9247.16067328123
82,Elizabeth,Smith,1.7,elizabeth smith,8925.38785317908,9077.11944668312
83,Mary,Davis,14.8,mary davis,7889.3241764954,9056.94415461672
84,James,Jackson,19.8,james jackson,7536.99549985668,9029.3206088283
85,Michael,Taylor,0.6,michael taylor,8943.24007932425,8996.89951980019
86,Charles,Brown,39.9,charles brown,6390.66446644502,8940.53958855659
87,Daniel,Garcia,35.1,daniel garcia,6600.06660776574,8916.68998709151
88,James,Lee,12.2,james lee,7833.66963918681,8789.3773351676
89,Michael,Thompson,6.7,michael thompson,7956.26785134913,8489.33779738953
90,Daniel,Johnson,-17.8,daniel johnson,10307.2650142943,8472.57184174991
91,David,Wilson,12.6,david wilson,7494.94441796468,8439.30741462823
92,Thomas,Johnson,-15,thomas johnson,9874.02317792733,8392.91970123823
93,John,Anderson,6.9,john anderson,7810.72877110855,8349.66905631504
